expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes
zal,strong,epistemic,1,"dutch-modal-evid1, dutch-modal-evid2",positive,no,zal,zal is the singular form of 'zullen'
zal,weak necessity,epistemic,1,"dutch-modal-evid5, dutch-modal-evid6, dutch-modal-evid7b",positive,no,zal,
zal,weak,epistemic,?,,positive,no,zal,
zal,strong,deontic,?,,positive,no,zal,
zal,weak necessity,deontic,?,,positive,no,zal,
zal,weak,deontic,?,,positive,no,zal,
zal,strong,teleological,?,,positive,no,zal,
zal,weak necessity,teleological,?,,positive,no,zal,
zal,weak,teleological,?,,positive,no,zal,
zal,strong,circumstantial,?,,positive,no,zal,
zal,weak,circumstantial,?,,positive,no,zal,
zal,strong,bouletic,?,,positive,no,zal,
zal,strong,epistemic,1,dutch-modal-evid13,negative,low,zai niet,
zal,weak necessity,epistemic,?,,negative,,,
zal,weak,epistemic,?,,negative,,,
zal,strong,deontic,?,,negative,,,
zal,weak necessity,deontic,?,,negative,,,
zal,weak,deontic,?,,negative,,,
zal,strong,teleological,?,,negative,,,
zal,weak necessity,teleological,?,,negative,,,
zal,weak,teleological,?,,negative,,,
zal,strong,circumstantial,?,,negative,,,
zal,weak,circumstantial,?,,negative,,,
zal,strong,bouletic,?,,negative,,,
moet/moeten,strong,epistemic,1,"dutch-modal-evid3, dutch-modal-evid4",positive,no,moet/moeten,moet/moeten are singular/plural forms
moet/moeten,weak necessity,epistemic,?,,positive,no,moet/moeten,
moet/moeten,weak,epistemic,?,,positive,no,moet/moeten,
moet/moeten,strong,deontic,1,"dutch-modal-evid15, dutch-modal-evid16, dutch-modal-evid16b",positive,no,moet/moeten,
moet/moeten,weak necessity,deontic,1,dutch-modal-evid19b,positive,no,moet/moeten eigenlijk,"eigenlijk = in.principle
both elements required"
moet/moeten,weak,deontic,?,,positive,no,moet/moeten,
moet/moeten,strong,teleological,1,"dutch-modal-evid29, dutch-modal-evid29b, dutch-modal-evid30, dutch-modal-evid31",positive,no,moet/moeten,
moet/moeten,weak necessity,teleological,1,"dutch-modal-evid32, dutch-modal-evid32b, dutch-modal-evid33, dutch-modal-evid33b",positive,no,moet/moeten,
moet/moeten,weak,teleological,?,,positive,no,moet/moeten,
moet/moeten,strong,circumstantial,1,"dutch-modal-evid41, dutch-modal-evid42, dutch-modal-evid43",positive,no,moet/moeten,
moet/moeten,weak,circumstantial,?,,positive,no,moet/moeten,
moet/moeten,strong,bouletic,1,"dutch-modal-evid54, dutch-modal-evid55, dutch-modal-evid56",positive,no,moet/moeten,
moet/moeten,strong,epistemic,0,dutch-modal-evid4d,negative,low,moet niet,
moet/moeten,weak necessity,epistemic,0,dutch-modal-evid12e,negative,low,moet niet,
moet/moeten,weak,epistemic,?,,negative,,,
moet/moeten,strong,deontic,1,"dutch-modal-evid26, dutch-modal-evid27, dutch-modal-evid28b",negative,low,moet niet,"it is important that moet is stressed. In that case, negation can take scope over the modal."
moet/moeten,weak necessity,deontic,?,,negative,,,
moet/moeten,weak,deontic,?,,negative,,,
moet/moeten,strong,teleological,1,"dutch-modal-evid38c, dutch-modal-evid40c",negative,low,moet niet,
moet/moeten,weak necessity,teleological,?,,negative,,,
moet/moeten,weak,teleological,?,,negative,,,
moet/moeten,strong,circumstantial,?,,negative,,,
moet/moeten,weak,circumstantial,?,,negative,,,
moet/moeten,strong,bouletic,?,,negative,,,
